Name,Park Code,Region,State,lat,lng,Park Website,See Observations in iNaturalist
Abraham Lincoln Birthplace National Historical Park,ABLI,SER,KY,37.61197573,-85.64442062,https://www.nps.gov/ABLI/index.htm,http://www.inaturalist.org/observations?place_id=90763&subview=grid
Acadia National Park,ACAD,NER,ME,44.3507318,-68.24410999,https://www.nps.gov/ACAD/index.htm,http://www.inaturalist.org/observations?place_id=49610&subview=grid
Adams National Historical Park,ADAM,NER,MA,42.25659415,-71.01254939,https://www.nps.gov/ADAM/index.htm,http://www.inaturalist.org/observations?place_id=95081&subview=grid
African Burial Ground National Monument,AFBG,NER,NY,40.71454948,-74.00432891,https://www.nps.gov/AFBG/index.htm,http://www.inaturalist.org/observations?place_id=95082&subview=grid
Agate Fossil Beds National Monument,AGFO,MWR,NE,42.42147185,-103.743999,https://www.nps.gov/AGFO/index.htm,http://www.inaturalist.org/observations?place_id=95089&subview=grid
Alagnak Wild River,ALAG,AKR,AK,59.00306616,-156.082237,https://www.nps.gov/ALAG/index.htm,http://www.inaturalist.org/observations?place_id=95091&subview=grid
Alibates Flint Quarries National Monument,ALFL,IMR,TX,35.58196523,-101.6717013,https://www.nps.gov/ALFL/index.htm,http://www.inaturalist.org/observations?place_id=95084&subview=grid
Ala Kahakai National Historic Trail,ALKA,PWR,HI,19.13153705,-155.5067587,https://www.nps.gov/ALKA/index.htm,http://www.inaturalist.org/observations?place_id=97396&subview=grid
Allegheny Portage Railroad National Historic Site,ALPO,NER,PA,40.44677136,-78.53186093,https://www.nps.gov/ALPO/index.htm,http://www.inaturalist.org/observations?place_id=72632&subview=grid
Amistad National Recreation Area,AMIS,IMR,TX,29.57479057,-101.2959346,https://www.nps.gov/AMIS/index.htm,http://www.inaturalist.org/observations?place_id=95085&subview=grid
American Memorial Park,AMME,PWR,MP,15.21501517,145.7240013,https://www.nps.gov/AMME/index.htm,http://www.inaturalist.org/observations?place_id=97397&subview=grid
Andersonville National Historic Site,ANDE,SER,GA,32.19830322,-84.12989005,https://www.nps.gov/ANDE/index.htm,http://www.inaturalist.org/observations?place_id=95086&subview=grid
Aniakchak National Monument,ANIA,AKR,AK,56.89544341,-158.1178088,https://www.nps.gov/ANIA/index.htm,http://www.inaturalist.org/observations?place_id=95092&subview=grid
Andrew Johnson National Historic Site,ANJO,SER,TN,36.15536303,-82.8381405,https://www.nps.gov/ANJO/index.htm,http://www.inaturalist.org/observations?place_id=95093&subview=grid
Antietam National Battlefield,ANTI,NCR,MD,39.47010671,-77.7380518,https://www.nps.gov/ANTI/index.htm,http://www.inaturalist.org/observations?place_id=97399&subview=grid
Appomattox Court House National Historical Park,APCO,NER,VA,37.38274761,-78.80089447,https://www.nps.gov/APCO/index.htm,http://www.inaturalist.org/observations?place_id=95095&subview=grid
Apostle Islands National Lakeshore,APIS,MWR,WI,46.93671618,-90.57955662,https://www.nps.gov/APIS/index.htm,http://www.inaturalist.org/observations?place_id=95096&subview=grid
Appalachian National Scenic Trail,APPA,NER,ME,37.35175454,-80.38107677,https://www.nps.gov/APPA/index.htm,http://www.inaturalist.org/observations?place_id=95097&subview=grid
